Hierarchy,Requirement Type,DNG ID,ZEP ID,Name,Primary Text,Component Allocation
14.2.2,SSR,199833,ZEP204,Scrub CPU registers for sensitive data,"Upon exit of a system call back to the calling thread, the kernel shall scrub CPU registers of any sensitive data.",Memory Protection
14.2.3,SSR,199832,ZEP205,Handling system calls on a separate private stack,"The kernel shall handle system calls on a separate, private stack which is not accessible to the calling thread.",Memory Protection
14.3,SYS,199354,ZEP206,Boot Time Memory Access Policy,The system shall support a boot time memory access policy,Memory Protection
14.3.1,SSR,199829,ZEP207,Definition of boot-time memory regions,The system shall allow for the definitions of boot-time memory regions whose permission attributes apply to all threads.,Memory Protection
14.4,SYS,199349,ZEP208,Assigning Memory Pools to Thread Resource Pool,Zephyr shall support assigning a memory pool to act as that thread's resource pool. This pool will be used to draw dynamic memory on behalf of kernel APIs that require it for private data.,Memory Protection
14.4.1,SSR,199791,ZEP209,Common system heap,Zephyr shall support assigning the common system heap as its memory pool.,Memory Protection
14.4.2,SSR,199794,ZEP210,Freeing memory drawn,The kernel shall support freeing memory drawn from a thread's resource pool. ,Memory Protection
14.4.3,SSR,199793,ZEP211,Thread resource pools,The kernel shall provide a thread resource pool for system call handlers or kernel APIs. ,Memory Protection
14.4.4,SSR,199792,ZEP212,Child thread inheritance,A child thread shall inherit the resource pool assignment of their parent.,Memory Protection
14.5,SYS,199355,ZEP213,Stack Overflow Detection,The system shall support detection of stack overflows,Memory Protection
14.5.1,SSR,199830,ZEP214,Mechanism for detecting supervisor thread overflow,The system shall provide an optional mechanism to detect when supervisor mode threads overflow their stack memory buffer. No guarantees about the integrity of kernel  memory when this occurs can be made.,Memory Protection
14.6,SYS,199350,ZEP215,Thread Access to Specific Memory,Zephyr shall have facilities for granting threads access to specific memory,Memory Protection
14.6.1,SSR,199800,ZEP216,Memory Domain API access,Access to memory domain APIs must be restricted to supervisor threads only.,Memory Protection
14.6.2,SSR,199805,ZEP217,Determining application memory partition,"The system shall automatically determine application memory partition base addresses and sizes at build time, determined by their contents.",Memory Protection
14.6.3,SSR,199809,ZEP218,Application memory partition size and aliagnment,The system shall ensure application memory partitions are automatically sized and aligned per the constraints of the platform's memory management hardware.,Memory Protection
14.6.4,SSR,199806,ZEP219,Assigning global data and BSS variable to application memory partitions,"The system shall support applications assigning global data and BSS variables to application memory partitions using annotation macros, distinguishing between data that is assigned at build time or simply zeroed.",Memory Protection
14.6.5,SSR,199802,ZEP220,Removing threads from memory domain,The OS shall support removing a thread from its memory domain assignment.,Memory Protection
14.6.6,SSR,199801,ZEP221,Adding thread as a member to a single memory domain,"The OS shall support adding a thread as a member to a single memory domain. When the thread is active, the thread shall have specified access to the partition definitions within the domain.",Memory Protection
14.6.7,SSR,199795,ZEP222,Definition of memory partitions,"The system shall support the definition of memory partitions. A memory partition consists of a starting address, a size, and a set of access attributes.",Memory Protection
14.6.8,SSR,199798,ZEP223,Adding a partition to a memory domain,"When adding a partition to a memory domain, the system should assert that the starting address, size, and access attributes are compatible with the underlying memory management hardware",Memory Protection
14.6.9,SSR,199803,ZEP224,Memory domain destruction,"A memory domain may be destroyed, which removes all thread assignments to it.",Memory Protection
14.6.10,SSR,199799,ZEP225,Adding a partition to a memory domain,"When adding a partition to a memory domain, the system should assert that the underlying memory management hardware has free resources (such as MPU regions) to accommodate the added partition",Memory Protection
14.6.11,SSR,199810,ZEP226,Subsystem library support,"The kernel shall support subsystem libraries which contain their own global data and place their globals in a named application memory partition which is exposed in a header file, so that threads using the library can add the partition to their memory domain.",Memory Protection
14.6.12,SSR,199807,ZEP227,Obtaining names of data and BSS sections,"The system shall provide means to obtain the names of the data and BSS sections related to a particular application memory partition at build time, for APIs which take a destination section as an argument.",Memory Protection
14.6.13,SSR,199796,ZEP228,Memory Domain Definition,"The system shall support the definition of memory domains. A memory domain is a set of memory partitions, up to some limit configured at build time.",Memory Protection
14.6.14,SSR,199804,ZEP229,Child thread memory domain inheritance,Child threads shall inherit the memory domain assignment of their parent.,Memory Protection
14.6.15,SSR,199808,ZEP230,Adding application memory partitions to memory domains,The kernel shall support adding application memory partitions to memory domains like any other memory partition.,Memory Protection
14.6.16,SSR,199797,ZEP231,Adding a partition to a memory domain,"When adding a partition to a memory domain, the system should assert that it does not overlap with any other partitions in the domain.",Memory Protection
14.7,SYS,199351,ZEP232,Track Kernel Objects by User Mode Threads,The system shall track kernel objects that are used by user mode threads,Memory Protection
14.7.1,SSR,199818,ZEP233,Child inheritance of object permissions,"The OS shall support child thread inheritance of object permissions of the parent thread at creation time, except the parent thread object itself.",Memory Protection
14.7.2,SSR,199817,ZEP234,Thread permissions on a kernel object,"A thread may be granted permission on a kernel object. If the caller is a user thread, the caller must already have permission on the thread object being granted access, and the target object.",Memory Protection
14.7.3,SSR,199821,ZEP235,Supervisor thread support,"The OS shall support supervisor threads granting kernel objects public status, allowing all threads to have access to them. ",Memory Protection
14.7.4,SSR,199812,ZEP236,Object types may be dynamically allocated by threads,"A subset of kernel object types may be dynamically allocated by threads, drawing memory from the calling thread's resource pool. If access to the object is tracked by the permission system, the requestor thread will implicitly be assigned permission on the allocated object.",Memory Protection
14.7.5,SSR,199814,ZEP237,Using object permission as a reference count,"Dynamically allocated kernel objects whose access is controlled by the permission system will use object permission as a reference count. If no threads have access to an object, that object may have any associated cleanup operations implicitly performed, and the object's memory released back to its originiating resource pool.",Memory Protection
14.7.6,SSR,199820,ZEP238,Freeing kernel objects at runtime,The OS shall support freeing Kernel objects allocated at runtime manually by supervisor threads.,Memory Protection
14.7.7,SSR,199815,ZEP239,Private kernel data,Kernel objects which contain private kernel data within their associated data structures must be located within private kernel memory and system call access to these objects must be tracked with the kernel object permission system.,Memory Protection
14.7.8,SSR,199811,ZEP240,Associate kernel object memory addresses ,"For all kernel objects which are accessible via system calls, the system must be able to associate kernel object memory addresses with whether the calling thread has access to the object, that the object is of the expected type, and the object is of the expected initialization state.",Memory Protection
14.7.9,SSR,199813,ZEP241,Statically allocating kernel objects at build time,"Kernel objects may be statically allocated at build time, without requiring any manual registration by the end user.",Memory Protection
14.7.10,SSR,199819,ZEP242,Revoking permissions on a kernel object,The OS shall support revoking permission on a kernel object. User threads may only revoke their own access to an object.,Memory Protection
14.7.11,SSR,199816,ZEP243,Locating kernel objects without private kernel data,The OS shall support locating kernel objects which do not contain private kernel data (such as futexes) anywhere in memory and control access with the memory domain configuration.,Memory Protection
14.8,SYS,199353,ZEP244,Defining Handler Functions,System calls define handler functions which validate all the inputs passed in from user mode before invoking the implementation function,Memory Protection
14.8.1,SSR,199825,ZEP245,Appropriate access permissions for a system call,The kernel shall provide means for a system call handler to determine whether the caller has appropriate access permissions on an untrusted pointer/size passed in.,Memory Protection
14.8.2,SSR,199827,ZEP246,Failed system calls on kernel objects,"The kernel will fail system calls on kernel objects that track thread permissions, on threads that do not have permission granted on the object.",Memory Protection
14.8.3,SSR,199828,ZEP247,Killing the calling thread by a system call handler,"When a system call handler elects to kill the calling thread, the kernel shall produce exception information which indicates the context where the faulting system call was made from user code.",Memory Protection
14.8.4,SSR,199826,ZEP248,Generating fatal error,System call handler checks which do not return an error code to the caller must generate a fatal error instead if the check fails.,Memory Protection
14.8.5,SSR,199824,ZEP249,Checking drivers implements called API,System call handlers for device driver subsystem APIs must check that the driver implements the particular API being called.,Memory Protection
14.9,SYS,199357,ZEP250,Reduced Privilege Thread Creation,The system shall allow the creation of threads that run in reduced privilege level ,Memory Protection
14.9.1,SSR,199837,ZEP251,User threads creating new threads,The kernel shall prevent user threads creating new threads from using thread or thread stack objects which are in an initialized (in-use) state.,Memory Protection
14.9.2,SSR,199842,ZEP252,Preventing user threads from creating supervisor threads,The kernel shall prevent user threads from creating supervisor threads.,Memory Protection
14.9.3,SSR,199838,ZEP253,Unitilizaing exit thread and thread stack objects,"Upon thread exit, the kernel shall mark the exiting thread and thread stack objects as un-initialized.",Memory Protection
14.9.4,SSR,199834,ZEP254,Supervisor mode privilege drop,The kernel shall provide a means for a thread running in supervisor mode to perform a one-way operation to drop privileges to user mode. Any sensitive data on the stack must be scrubbed.,Memory Protection
14.9.5,SSR,199841,ZEP255,Read/write access ,The kernel shall provide all threads read/write access to their own stack memory buffer.,Memory Protection
14.9.6,SSR,199840,ZEP256,User thread creating new threads,The kernel shall prevent user threads from creating new threads that are higher priority than the caller.,Memory Protection
14.9.7,SSR,199835,ZEP257,Access to thread objects,The kernel shall provide new user threads access to their own thread object.,Memory Protection
14.9.8,SSR,199836,ZEP258,User threads creating new threads,The kernel shall ensure user threads creating new threads have permission on the target thread and thread stack objects. These objects shall be marked as initialized if the creation succeeds.,Memory Protection
14.9.9,SSR,199839,ZEP259,Validating new threads' stack sizes,The kernel shall validate that new threads' stack sizes are not larger than the target thread stack object capacity.,Memory Protection
15,MKT,199095,ZEP260,Message Queue,The kernel shall provide mechanisms for managing communication between threads and to enable waiting for results,Message Queue
15.1,SYS,199328,ZEP261,Message Queue Kernel Object,"The kernel shall provide a kernel object that implements a simple message queue, allowing threads and ISRs to asynchronously send and receive fixed-size data items.",Message Queue
15.1.1,SSR,199693,ZEP262,Defining and initializing message queues at compile time,The kernel shall provide a mechanism for defining and initializing message queues at compile time,Message Queue
15.1.2,SSR,199696,ZEP263,Blocking a thread from an empty message queue,The kernel shall block a thread when it reads from an empty message queue ,Message Queue
15.1.3,SSR,199692,ZEP264,Receiving data items,A data item can be received from a message queue by a thread.,Message Queue
15.1.4,SSR,199694,ZEP265,Sending data item to a message queue,The kernel shall support sending a data item to a message queue by a thread or an ISR.,Message Queue
15.1.5,SSR,199691,ZEP266,Application definition of message queues,An application shall be able to define any number of message queues,Message Queue
15.1.6,SSR,199697,ZEP267,Blocking operations,All blocking operations shall support providing a timeout defining the maximum time the thread will wait,Message Queue
15.1.7,SSR,199695,ZEP268,Blocking a thread from a full message queue,The kernel shall support blocking a thread when it writes to a full message queue ,Message Queue
16,MKT,199105,ZEP269,Multiple CPU scheduling,The kernel shall support scheduling of OS threads on multiple hardware CPUs,SMP
16.1,SYS,199346,ZEP270,CPU Mask Mechanism,The kernel shall provide a CPU mask mechanism for associating threads with specific CPUs,SMP
16.1.1,SSR,199779,ZEP271,Thread scheduling on CPUs,Threads shall not be scheduled on CPUs outside their mask set.,SMP
16.1.2,SSR,199778,ZEP272,CPU mask maechanism,The kernel shall provide a CPU mask mechanism to associate threads with a specific set of CPUs on which they will run.,SMP
16.2,SYS,199347,ZEP273,Operation on multiple CPU on same kernel state,The kernel shall support operation on more than one physical CPU sharing the same kernel state,SMP
16.2.1,SSR,199782,ZEP274,"Compatible, global, recursive IRQ lock abstraction","The kernel shall support a compatible, global, recursive IRQ lock abstraction for the benefit of code written to uniprocessor synchronization.",SMP
16.2.2,SSR,199781,ZEP275,Identical scheduling and priority API,The kernel shall support an identical scheduling and priority API in SMP and uniprocessor modes,SMP
16.2.3,SSR,199780,ZEP276,Symmetric execution on any CPU,Threads on a SMP kernel shall be able to execute symmetrically on any CPU in the system,SMP
16.3,SYS,199345,ZEP277,Traditional Spinlock Primitives,The kernel shall provide a mechanism for mutual exclusion between multiple physical CPUs using a traditional spinlock primitive.,SMP
16.3.1,SSR,199776,ZEP278,Mutual exclusion for spinlocks in uniprocessor contexts,Spinlocks in uniprocessor context should achieve mutual exclusion using interrupt masking,SMP
16.3.2,SSR,199777,ZEP279,Locking spinlocks to provide mutual exclusion,Spinlocks may be locked to provide mutual exclusion between multiple CPUs using atomic APIs,SMP
16.3.3,SSR,199775,ZEP280,Spinlock support,"The kernel shall support an arbitrary number of spinlocks, identified by their address, and initialized at either compile or run-time.",SMP
17,MKT,200047,ZEP281,Mutex,The kernel shall provide mechanisms for managing communication between threads and to enable waiting for results,Mutex
17.1,SYS,199329,ZEP282,Mutex Kernel Object,The kernel shall support a kernel object that implements a traditional reentrant mutex. A mutex shall allow multiple threads to safely share an associated hardware or software resource by ensuring mutually exclusive access to the resource.,Mutex
17.1.1,SSR,199698,ZEP283,Recursive mutexes,"The kernel shall support recursive mutexes.  A lock of a mutex already locked will succeed, and waiters will be unblocked only when the number of locks reaches zero.",Mutex
17.1.2,SSR,199701,ZEP284,Mutex priority inheritance,The thread that has locked a mutex shall be eligible for priority inheritance. This means the kernel will temporarily elevate the thread's priority if a higher priority thread begins waiting on the mutex.,Mutex
17.1.3,SSR,199702,ZEP285,Defining and initializing mutexes ,A mutex can be defined and initialized at compile time or run time,Mutex
17.1.4,SSR,199700,ZEP286,Mutex lock operations,The mutex lock operation shall accept a timeout parameter indicating the maximum amount of time the thread will wait,Mutex
17.1.5,SSR,199699,ZEP287,Application definition of mutexes,An application shall be able to define any number of mutexes,Mutex
18,MKT,199096,ZEP288,Pipes,The kernel shall provide mechanisms for managing communication between threads and to enable waiting for results,Pipes
18.1,SYS,199330,ZEP289,Pipe Kernel Object,The kernel shall provide a kernel object that allows a thread to send a byte stream to another thread. Pipes can be used to transfer sequences of bytes of data in whole or in part.,Pipes
18.1.1,SSR,199707,ZEP290,Timeout parameter,The kernel shall support supplying a timeout parameter indicating the maximum amount of time a process will wait,Pipes
18.1.12,SSR,199706,ZEP291,Defining and initializing pipes at run time,The kernel shall provide a mechanism for defining and initializing pipes at run time,Pipes
18.1.13,SSR,199703,ZEP292,Application definition of pipes,An application shall be able to define any number of pipes,Pipes
18.1.14,SSR,199705,ZEP293,Defining and initializing pipes at compile time,The kernel shall provide a mechanism for defining and initializing pipes at compile time,Pipes
18.1.15,SSR,199704,ZEP294,Sending kernel memory blocks into a pipe,The kernel shall support sending a kernel memory block into a pipe,Pipes
19,MKT,199097,ZEP295,Poll,The kernel shall provide mechanisms for managing communication between threads and to enable waiting for results,Poll
19.1,SYS,199331,ZEP296,Poll Operation Support,The kernel shall support a poll operation which enables waiting concurrently for any one of multiple conditions to be fulfilled.This allows a single thread to wait concurrently for one or more conditions to be fulfilled without actively looking at each one individually.,Poll
19.1.1,SSR,199709,ZEP297,Queue data available events waitable events in poll,The kernel shall support queue data available events as waitable events in poll ,Poll
19.1.2,SSR,199708,ZEP298,Semaphore put events as waitable events,The kernel shall support semaphore put events as waitable events in poll,Poll
19.1.3,SSR,199711,ZEP299,Timeout argument,The kernel shall support a single timeout argument indicating the maximum amount of time a thread shall wait in poll,Poll
19.1.4,SSR,199710,ZEP300,Application-defined signals as waitable events,The kernel shall support application-defined signals as waitable events in poll,Poll
20,MKT,199114,ZEP301,Power Management,The system shall support control over hardware power state,Power Management
20.1,SYS,199389,ZEP302,Power State Control,The system shall provide control over and notification of changes to system power state,Power Management
20.1.1,SSR,199915,ZEP303,Notification of device drivers to system power state changes,The system shall support notification of device drivers on changes to system power state ,Power Management
20.1.2,SSR,199914,ZEP304,Timeout Parameter to the idle routine,The system shall provide a timeout parameter to the idle routine indicating the amount of time guaranteed to expire before the next timeout,Power Management
20.1.3,SSR,199917,ZEP305,Mechanism to suppress system power state transitions,The system shall provide a mechanism to the application to suppress system power state transitions ,Power Management
20.1.4,SSR,199912,ZEP306,Notification of changes to system power state,The system shall provide  notification of changes to system power state,Power Management
20.1.5,SSR,199913,ZEP307,Global idle routine,The system shall provide a global idle routine executed when no other work is available ,Power Management
20.1.6,SSR,199916,ZEP308,Control of power state ordering,The system shall support control of power state ordering between subsystems and devices,Power Management
21,MKT,199098,ZEP309,Queues,The kernel shall provide mechanisms for managing communication between threads and to enable waiting for results,Queues
21.1,SYS,199332,ZEP310,Queue Mechanism for passing data elements,The kernel shall support a queue mechanism allowing threads to pass data elements in order ,Queues
21.1.1,SSR,199714,ZEP311,Queue definition,An application shall be able to define any number of queues,Queues
21.1.2,SSR,199715,ZEP312,Kernel object for LIFO or FIFO,"The kernel shall provide a kernel object that implements a traditional Last In, First Out, or First In First Out queue, allowing threads and ISRs to add and remove data items of any size.",Queues
21.1.3,SSR,199712,ZEP313,Defining and initializing queues at compile time,The kernel shall provide a mechanism for defining and initializing queues at compile time,Queues
21.1.4,SSR,199713,ZEP314,Kernel queues items,"Kernel queues may have an unlimited number of items added to them without requiring allocation of kernel memory, the queue data structures shall be stored within the provided data items",Queues
22,MKT,199099,ZEP315,Scheduling,The kernel shall provide a mechanism for selecting which of many threads will be run on a given CPU,Scheduling
22.1,SYS,199335,ZEP316,Preemption for Running Higher Priority Thread,The kernel shall support preemption of a running thread by a higher priority thread,Scheduling
22.1.1,SSR,199722,ZEP317,Selecting the highest priority ready thread,"The scheduler shall select the highest priority ready thread to be the current thread. By default, when multiple ready threads of the same priority exist, the scheduler shall choose the one that has been waiting longest.",Scheduling
22.1.2,SSR,199724,ZEP318,Supplanting a preemptable thread,"A preemptable thread may be supplanted at any time if a cooperative thread, or a preemptable thread of higher or equal priority becomes ready.",Scheduling
22.1.3,SSR,199723,ZEP319,Temporary treatment of a preemptive thread to a cooperative thread.,A preemptive thread that does not wish to be preempted shall be able to lock the scheduler to temporarily treat it as cooperative thread.,Scheduling
22.2,SYS,199337,ZEP320,Organizing running threads,The kernel shall organize running threads into a fixed list of numeric priorities,Scheduling
22.2.1,SSR,199731,ZEP321,Deadline scheduling ,"The kernel shall support deadline scheduling, where threads with the same static priority are sorted according to the nearness of their ""deadline"" times.",Scheduling
22.2.2,SSR,199729,ZEP322,Thread priority level support,The kernel shall support an arbitrary number of thread priority levels.,Scheduling
22.2.3,SSR,199730,ZEP323,Integer thread priority values,Thread priority shall be able to be expressed in integer values,Scheduling
22.2.4,SSR,199732,ZEP324,Power management idle thread,The kernel shall provide an idle thread at the lowest possible priority for power management tasks when nothing else is available to run,Scheduling
22.3,SYS,199334,ZEP325,Thread priority support for un-preemptible threads,The kernel shall support thread priorities which cannot be preempted by other user threads  ,Scheduling
22.3.1,SSR,199719,ZEP326,Voluntarily yielding the CPU,A cooperative thread shall be able to voluntarily yield the CPU to permit other threads or equal or higher priority to execute.,Scheduling
22.3.2,SSR,199720,ZEP327,Changing time slice size,Time slice size shall be able to be changed while application is running.,Scheduling
22.3.3,SSR,199721,ZEP328,Cooperative Threading,"The kernel shall support cooperative threading, a cooperative thread remains the current thread until it performs an action that makes it unready.",Scheduling
22.4,SYS,199336,ZEP329,Runtime control of scheduler state,The kernel shall support runtime control of scheduler state,Scheduling
22.4.1,SSR,199727,ZEP330,Delay thread processing and sleep,A thread shall be able to delay its processing and sleep for at least a specififed time period during which other ready threads can execute.,Scheduling
22.4.2,SSR,199726,ZEP331,Busy Wait,A thread shall be able to busy wait without yielding the CPU to another ready thread.,Scheduling
22.4.3,SSR,199728,ZEP332,Thread priority alteration,Thread priority shall be able to be altered up or down after the thread has been started.,Scheduling
22.4.4,SSR,199725,ZEP333,Waking a sleeping thread from another thread,The scheduler shall be able to wake up a sleeping thread from another thread.,Scheduling
22.5,SYS,199333,ZEP334,Traditional Time sharing of CPU resources,The kernel shall support traditional time sharing of CPU resources among threads of the same priority,Scheduling
22.5.1,SSR,199716,ZEP335,Time slice configuration,Time slice size shall be configurable on a global basis,Scheduling
22.5.2,SSR,199718,ZEP336,Exhausting a time slice,A thread that has exhausted its time slice shall not run until other threads of the same priority have exhausted theirs ,Scheduling
22.5.3,SSR,199717,ZEP337,Time-slicing with preemptable threads,The scheduler shall support time-slicing with preemptable threads.,Scheduling
23,MKT,199115,ZEP338,Sensor Subsystem,The system shall provide a unified interface for accessing sensor data,Sensor Subsystem
23.1,SYS,199391,ZEP339,Sensor interface Trigger Support,The sensor interface shall support triggers.,Sensor Subsystem
23.1.1,SSR,199923,ZEP340,Sensor subsystem trigger type support,"The system shall support different types of triggers, based on time, data availability, threshold, based on a delta value, near/far events and single/double tap.  ",Sensor Subsystem
23.1.2,SSR,199922,ZEP341,Sensor runtime parameter configuration,"The system shall allow configuration of runtime parameters in a sensor, for example threshold values for interrupts.",Sensor Subsystem
23.2,SYS,199390,ZEP342,Sensor Interface Channel Support,The sensor interface shall support multiple channels,Sensor Subsystem
23.2.1,SSR,199918,ZEP343,Multiple channel sensor support,"A sensor shall support multiple channels, either to represent different axes of the same physical property or because they can measure different properties altogether",Sensor Subsystem
23.2.2,SSR,199919,ZEP344,Avoiding floating point values in sensor results,Sensors shall return results in a representation that avoids use of floating point values,Sensor Subsystem
23.2.3,SSR,199921,ZEP345,Bus and address configuration at compile time,"The system shall allow configuration of bus and address at compile time, and if the sensor supports interrupts, the interrupt lines and triggering parameters should also be configured at compile time.",Sensor Subsystem
23.2.4,SSR,199920,ZEP346,Sensor reading values from channels,"The system shall allow sensors to be able to read value from its channels consistently. This must be done in two operations, first an instruction telling the driver to fetch a sample of all its channels and then get the values of each channel individually. ",Sensor Subsystem
24,MKT,199101,ZEP347,Thread Communication Devices,The kernel shall provide useful devices for managing communication between threads and to enable waiting for results,Stack
24.1,SYS,199339,ZEP348,LIFO queue,"The kernel shall provide a kernel object that implements a traditional last in, first out (LIFO) queue, allowing threads and ISRs to add and remove a limited number of 32-bit data values.",Stack
24.1.1,SSR,199744,ZEP349,K stack push operation,The k stack push operation shall wait if the stack is full ,Stack
24.1.2,SSR,199743,ZEP350,K stack pop operation,The k stack pop operation shall wait if no item is available,Stack
24.1.3,SSR,199742,ZEP351,Defining and initializing stacks at compile time,The kernel shall provide a mechanism for defining and initializing stacks at compile time,Stack
24.1.4,SSR,199746,ZEP352,Push and pop operations accepting timeout parameters,Push and pop operations shall accept a timeout parameter indicating the maximum amount of time the thread will wait,Stack
24.1.5,SSR,199745,ZEP353,Defining a k stack,The kernel shall support defining a k stack with a fixed maximum number of entries,Stack
25,MKT,199100,ZEP354,Thread Communication Mechanisms,The kernel shall provide useful devices for managing communication between threads and to enable waiting for results,Semaphores
25.1,SYS,199338,ZEP355,Semaphore Abstraction,"The OS kernel shall provide a traditional counting semaphore abstraction for queuing and mutual exclusion. An application shall be able to define and initialize a semaphore at compile time with an application-specified count. The number of semaphores an application can define shall only be limited by the memory available to the operating system.  A semaphore may be taken by a thread with or without timeout or an ISR with no timeout . Taking the semaphore shall decrement its count, unless the semaphore count is zero.",Semaphores
26,MKT,199102,ZEP365,Thread Support,Zephyr shall support multiple threads of execution,Threads
26.1,SYS,199341,ZEP366,Thread Management Facilities,The kernel shall provide facilities for managing threads ,Threads
26.1.1,SSR,199756,ZEP367,Statically initializing thread stacks,The kernel shall supply a mechanism for statically initializing thread stacks in memory,Threads
26.1.2,SSR,199754,ZEP368,Thread ID,Each thread shall have a thread ID used to reference the thread in question,Threads
26.1.3,SSR,199755,ZEP369,Human-readable name thread association ,The kernel shall supply a mechanism for associating human-readable names with threads,Threads
26.1.4,SSR,199758,ZEP370,Thread synchronous end,A thread may synchronously end its execution by returning from its entry point function.,Threads
26.1.5,SSR,199752,ZEP371,Custom data per thread,The kernel shall support providing custom data per thread. The data will be thread specific and can be used by an application for any purpose.,Threads
26.1.6,SSR,199751,ZEP372,Configuring a thread at compile time,The kernel shall be able to configure a thread at compile time,Threads
26.1.7,SSR,199757,ZEP373,Thread definition options,A thread shall be defined with options to either start execution immediately or with a delay by specifying a timeout value,Threads
26.1.8,SSR,199753,ZEP374,Cancelling delayed start before thread execution,The kernel shall allow delayed start to be cancelled before the thread starts execution,Threads
26.2,SYS,199340,ZEP375,Thread Abortion,The kernel shall support synchronously or asynchronously aborting a thread,Threads
26.2.1,SSR,199747,ZEP376,Raising fatal errors,The kernel shall raise a fatal system error if the idle thread aborts,Threads
26.2.2,SSR,199750,ZEP377,Thread abortion,A thread can be aborted by another thread.,Threads
26.2.3,SSR,199748,ZEP378,Asynchronous thread end,A thread may asynchronously end its execution by aborting.,Threads
26.2.4,SSR,199749,ZEP379,Application thread definition,An application shall be able to define any number of threads,Threads
26.3,SYS,199342,ZEP380,Thread Floating Point Context,When enabled the kernel shall maintain floating point context for threads. ,Threads
26.3.1,SSR,199759,ZEP381,Floating point context on thread context switch,The kernel shall preserve floating point context on thread context switch,Threads
26.3.2,SSR,199761,ZEP382,Floating point register thread poilicy ,The kernel should not incur floating point register save overhead for threads not using floating point,Threads
26.3.3,SSR,199760,ZEP383,Preventing accidental access between threads,The kernel shall prevent accidental access from one thread to the floating point registers of another,Threads
27,MKT,199103,ZEP384,Timers,The kernel shall provide an abstraction for managing time-based events,Timers
27.1,SYS,199343,ZEP385,Timer Abstractions,The kernel shall provide a timer abstraction that associates a c function with timeout events,Timers
27.1.1,SSR,199764,ZEP386,Stopping a running timer,"A running timer can be stopped in mid-countdown, if desired.",Timers
27.1.2,SSR,199766,ZEP387,Timer status direct read,A timer's status can be read directly at any time to determine how many times the timer has expired since its status was last read.,Timers
27.1.3,SSR,199765,ZEP388,Starting a timer,A timer is started by specifying a duration until the function is invoked for the first time and a period between subsequent invocations.,Timers
27.1.4,SSR,199768,ZEP389,Defining and initializing a timer at compile time,A timer can be defined and initialized at compile time,Timers
27.1.5,SSR,199767,ZEP390,Synchronizing threads to timers,"A thread may synchronize with the timer, waiting until the callback is next invoked.  ",Timers
27.1.6,SSR,199763,ZEP391,Restarting a running timer,"A running timer can be restarted in mid-countdown, if desired.",Timers
27.1.7,SSR,199762,ZEP392,Application definition of timers,An application shall be able to define any number of timers,Timers
28,MKT,199113,ZEP393,Tracing,The system shall provide a mechanism for tracing low level system operations,Debug and Tracing
28.1,SYS,199388,ZEP394,Tracing Object  Identification,The tracing system shall provide a mean to identify the objects being traced,Debug and Tracing
28.1.1,SSR,199911,ZEP395,Tracing data identification and phase operation,"The consumer of the tracing data shall be able to identify and show the current phase of operation (thread, ISR, idle thread, etc.) based on the provided trace data.",Debug and Tracing
28.2,SYS,199386,ZEP396,Multiple Backend Tracing Support,The tracing system shall support multiple backends,Debug and Tracing
28.2.1,SSR,199909,ZEP397,Dumping trace data in text format,The tracing system shall support dumping the trace data in text format using existing logging and debug facilities available in the system,Debug and Tracing
28.2.2,SSR,199908,ZEP398,Common tracing format support,The tracing system shall support the common tracing format (CTF),Debug and Tracing
28.3,SYS,199387,ZEP399,Tracing Non-Interference,The tracing functionality shall not interfere with normal operations of the operating system.,Debug and Tracing
28.3.1,SSR,199910,ZEP400,Tracing calls not producing code when disabled,All tracing calls shall not be producing code when the tracing system is disabled.,Debug and Tracing
